사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-07,2호선,29,삼성(무역센터),179,1,4084,4890,6607,38110,13714,114580,18058,276936,19345,180258,21172,72053,28523,52606,32772,49189,40410,54164,51455,44775,63176,39381,80336,36638,157248,36352,241258,40348,118019,22935,82688,13107,68411,10697,42182,9654,5622,3333,2,1329,0,0,0,0,0,0
2021-07,2호선,30,선릉,32,0,3584,6356,9664,38919,18658,102981,27492,255918,26168,191880,30075,80509,38760,56930,45115,50937,51493,53504,61293,46133,77685,39532,104906,36889,161750,40505,265212,43851,123016,26645,72674,15736,72356,13685,62184,13467,8587,4971,2,23,0,0,0,0,0,0
2021-07,2호선,31,역삼,16,1,3128,7544,7509,36690,13359,122292,21677,302578,20093,241926,20595,93165,27725,56491,33173,47599,38578,51739,47925,43652,62548,38614,79630,35660,170575,37149,255893,42221,127341,26699,68771,15736,64953,13150,45666,12222,8519,4860,0,0,0,0,1,0,0,0
2021-07,2호선,32,강남,42,2,5451,10959,14934,49108,35242,144595,54029,299804,43961,297597,46294,135352,62512,101144,79730,96435,93583,114250,101584,98764,125307,88590,143520,86373,222903,104186,312517,139831,185908,76204,137750,36586,169220,27887,140482,26383,17074,9626,8,6,0,0,0,0,0,0
2021-07,2호선,33,교대(법원.검찰청),17,1,2331,6908,11437,24564,21346,55403,29814,149746,24300,127697,22876,60236,27772,47207,31341,43284,36724,48039,43255,42839,48503,38190,54103,37554,89143,43639,135568,54945,60347,33740,42942,18157,47466,15358,39381,16534,5711,5555,2,31,0,0,0,0,0,0
2021-07,2호선,34,서초,28,0,1286,4531,7400,18911,14120,45452,21704,111813,21030,74324,16217,29322,19569,21354,20117,18103,22699,20656,26035,18579,30094,16296,34280,16740,62811,17642,93676,20020,36446,13238,22332,8333,22543,7522,16097,8081,3073,2327,0,0,0,0,0,0,0,0
2021-07,2호선,35,방배,3,0,2652,2831,8534,12928,20269,25333,27449,65602,21247,41188,15160,18917,14888,15028,17236,15679,18240,17330,17987,16470,19689,16637,24613,18374,36080,25045,58031,33579,24041,23034,15902,14054,16271,13245,13042,14363,2613,4334,0,4,1,1,1,1,0,0
2021-07,2호선,36,사당,56,3,10968,3364,24175,24853,65492,37026,89922,55892,61459,40608,38205,33997,34007,35608,38954,37317,39046,39244,38008,39607,39441,46804,43594,57806,56943,84677,81388,127288,48717,86146,40208,50626,45923,45966,40466,48677,7394,17253,4,939,0,0,0,0,0,0
2021-07,2호선,37,낙성대(강감찬),31,1,11548,1804,24851,8122,71387,16160,114841,35896,71766,29581,37075,22380,32027,20794,32893,23802,32057,24485,29411,26659,28127,30826,30946,35488,37538,53894,43581,91672,23952,77706,18167,46097,17885,43110,13873,47736,3435,16538,1,980,0,0,0,0,0,0
2021-07,2호선,38,서울대입구(관악구청),4097,12,28252,2398,40796,13333,115574,27392,164058,61601,105353,57623,57722,45576,51486,41912,55564,45037,56003,49829,50585,51498,53891,57132,59696,67990,70343,95910,79687,162358,48562,127345,39015,72576,43581,63765,37172,72885,7308,25820,2,4784,0,0,0,0,0,0
2021-07,2호선,39,봉천,70,3,15925,1614,27483,6639,74203,11218,108660,24446,63013,19854,33396,18391,27769,18874,28320,20098,28116,22275,24359,23898,23667,30576,24629,33729,25845,48266,30421,82045,17044,65393,13534,38826,13007,36209,9739,34694,2188,13788,1,52,0,0,0,0,0,0
2021-07,2호선,40,신림,209,13,40255,3487,72944,19095,190957,32479,287068,60178,164642,49165,84947,40676,69868,42102,73472,49358,68359,54546,61087,62367,59929,76905,67419,89976,73966,132599,76786,234879,48236,194732,39938,114642,41441,107943,35799,108569,8002,47145,1,29,0,0,0,0,0,0
2021-07,2호선,41,신대방,184,3,25952,1843,35370,8994,82096,16903,119543,29403,71160,20377,37771,16617,28945,17373,29202,19641,27711,21303,23926,24577,23876,33344,26395,38851,30437,57612,36856,90928,20417,73935,14218,47248,11526,50704,8939,48653,2445,19952,1,9,0,0,0,0,0,0
2021-07,2호선,42,구로디지털단지,396,14,39822,5783,50117,22374,124041,84122,165444,242039,100211,131575,54623,52262,48157,40874,52071,41947,53843,47431,49213,46862,52063,56029,61841,65336,116437,95266,212798,150463,98593,114487,54012,68163,45991,67273,33563,67582,6158,27043,0,76,0,0,0,0,0,0
2021-07,2호선,43,대림(구로구청),460,28,35162,3457,28750,11228,60413,22965,83744,50713,55542,32342,30315,25613,24806,25031,26277,24886,25937,25861,23305,26326,24521,34410,28470,37891,36917,54886,46823,66457,24408,47921,16387,32340,13665,41034,9482,39319,2621,12557,1,222,0,0,0,0,0,0
2021-07,2호선,44,신도림,3795,20,34829,4828,47265,16275,117522,37025,120715,102011,75260,58270,49255,52767,46741,48607,52511,51660,53695,54734,52612,51488,54751,58445,63958,65399,79634,91542,113956,149324,61743,106347,49567,58214,53977,53000,38376,57380,6377,25192,23,4684,0,0,0,0,0,0
2021-07,2호선,45,문래,3,0,3732,2445,12435,10586,37023,35375,41203,114737,22462,51959,15773,19979,15914,16668,17674,18393,18364,18912,18888,17607,20712,18657,26535,20953,50752,28515,96292,48928,32727,33299,21028,16983,23092,14544,16720,14090,2767,5421,0,59,0,0,0,0,0,0
2021-07,2호선,46,영등포구청,32,0,5350,3010,11790,13936,35547,36175,42296,116702,27809,53126,21493,24722,21725,20716,22650,21384,22433,23572,24334,21254,26250,21837,32467,23670,51298,29802,98867,47643,33452,31211,22269,17673,21178,15625,14875,15187,2871,6915,1,101,1,1,0,0,0,0
2021-07,2호선,47,당산,32,3,6429,3157,15856,12216,41992,27581,49671,67488,29202,33231,18644,16984,17734,15136,18144,16604,18304,18476,17659,17849,17921,19782,20728,23980,34149,36828,53059,65603,23101,42854,16498,25825,17548,24001,14790,23364,3198,9448,0,120,0,0,0,0,0,0
2021-07,2호선,48,합정,40,3,6964,2950,16313,13869,40143,30591,50971,85542,32179,70962,22397,38875,22849,35738,26874,38659,30447,41845,31740,38725,35056,38113,41888,42704,61345,56182,100126,84546,62548,55733,44609,27530,52610,23132,45663,22592,7955,10136,2,272,0,0,0,0,0,0
2021-07,2호선,49,홍대입구,215,6,10092,3044,19556,13652,52333,29156,66634,87785,42382,95365,31191,64149,35469,67399,44406,81187,51889,86444,54359,82153,64786,82207,79023,83813,105106,97059,133286,131645,94954,85812,86088,43003,110943,32879,93848,32797,12856,15843,78,1668,1,1,0,0,0,0
2021-07,2호선,50,신촌,37,3,5030,2683,12195,16221,30417,33269,42883,72717,29679,81290,28984,49961,35339,45802,41209,48090,42360,55520,44045,46723,51158,42732,61396,43661,77008,55951,77123,81377,50710,51456,50840,26334,56156,22937,47731,22874,7440,9742,1,38,0,0,0,0,0,0
2021-07,2호선,51,이대,39,0,2890,923,7432,8299,21435,10347,28777,27887,16279,24762,11736,16950,12928,14289,15646,15794,16368,18346,15473,16057,17267,15764,22184,16622,28903,21735,27597,33496,16444,23707,12826,13385,12996,13583,9508,14269,2294,6428,0,11,1,3,0,0,0,0
2021-07,2호선,52,아현,15,0,4211,1006,10253,8037,25492,10453,33679,18018,20129,11820,14612,8972,13101,9009,13287,9754,12986,10542,11866,11074,14017,12339,16395,13932,16414,20173,16426,30145,10096,22324,7058,13403,5569,12913,3896,12552,972,4386,3,10,0,0,0,0,0,0
2021-07,2호선,53,충정로(경기대입구),29,0,3129,1007,5986,6422,14020,18491,19683,55095,12925,24066,9300,10794,9690,8730,10027,8296,10590,9110,10663,8519,11756,8996,13617,9610,22147,12882,44510,19092,13028,13422,7788,8001,6683,8036,5164,7897,851,2931,0,48,0,0,0,0,0,0
2021-07,2호선,54,용답,14,0,2641,263,3167,1037,6751,1712,11539,2625,6132,2063,3910,1887,3241,2185,3415,2496,3352,2660,2971,2800,3085,3415,3836,4615,3541,5849,3400,9446,2101,6643,1425,3716,1026,4905,924,4832,291,2031,0,1,0,0,0,0,0,0
2021-07,2호선,55,신답,8,1,967,127,1763,459,5782,804,8943,1575,3784,966,1883,945,1791,1145,1625,1334,1521,1404,1384,1498,1417,2153,1497,2792,1619,4124,1927,9320,892,6289,557,2853,521,2834,391,2685,113,1139,0,7,0,0,0,0,0,0
2021-07,2호선,56,신설동,21,0,1184,336,1156,2300,3143,5289,5592,11743,3722,7711,3731,5574,4496,5818,5312,5387,5605,5289,5749,4614,6314,4588,6854,4042,9741,4446,10041,5248,3915,3641,2408,2048,2042,1800,1422,1877,346,893,0,146,0,0,0,0,0,0
2021-07,2호선,57,도림천,5,0,303,289,1187,828,2931,3464,3051,5586,1845,2392,2107,1528,1702,1179,2629,1741,1499,1203,1802,1682,1659,1268,2382,1627,2692,2119,3840,2733,1917,2292,857,1416,716,1189,398,1157,157,548,0,27,2,1,0,0,0,0
2021-07,2호선,58,양천구청,14,0,4802,863,10323,2082,28325,4620,25911,9274,13397,4398,8764,4472,7610,4640,8198,6186,7338,6397,6166,6639,6058,7959,6800,9798,7836,15341,7871,26734,3442,22867,2435,11958,1894,10523,1965,10026,414,4910,2,331,0,0,0,0,0,0
2021-07,2호선,59,신정네거리,44,0,8131,808,15562,3384,44091,5181,39179,11285,20951,7948,14072,6922,12266,8307,12402,9183,11453,10264,10003,10441,9658,13264,10759,16571,11566,24685,10605,44145,6452,33645,4728,16903,3969,15198,3197,14575,678,6423,0,329,0,0,0,0,0,0
2021-07,2호선,60,용두(동대문구청),24,1,1275,179,1546,963,4504,2575,7712,6502,4059,3209,3363,2983,3350,3076,3275,2700,3322,3024,3450,3151,3338,3727,3791,3842,4132,4194,5632,7501,2262,5064,1544,2408,1308,2352,677,2099,137,848,0,22,0,0,0,0,0,0
2021-07,3호선,61,지축,5,0,1793,1175,7030,5394,17822,3345,17550,3413,7927,2282,5268,2230,4418,2965,4416,3228,4253,3261,3833,3433,4835,4056,7007,5553,6296,7613,4092,15942,2253,12661,1357,7853,964,6324,770,6541,276,1931,1,1,0,0,1,2,0,0
2021-07,3호선,62,구파발,185,5,9763,1679,27502,10249,75622,21172,70616,26730,36155,23867,24821,23566,24488,20340,24808,22033,22215,23659,22315,23555,25865,23136,29487,26735,31860,35445,27633,64828,16843,54035,14054,28659,12945,23018,8278,21704,1368,11962,9,1422,1,8,0,0,0,0
2021-07,3호선,63,연신내,272,15,26976,1806,49662,10655,120495,19247,144431,33448,80211,33653,52372,32356,46823,33388,48535,34770,45192,38379,40939,38803,40861,47153,44987,56780,45377,74481,43444,126208,29166,109374,22609,57540,22400,51709,18035,49564,2909,22928,0,1331,0,0,0,0,0,0
